day,average_trip_distance,total_fare_amount,trip_count,peak_hour
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999998,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999998,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-16,136.73331772334296,45012.83999999999,2776,18
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-17,204.56120871143364,46036.69999999999,2755,17
2022-06-18,153.00720858895716,36897.74,2282,15
2022-06-18,153.00720858895716,36897.74,2282,15
2022-06-18,153.00720858895716,36897.74,2282,15
2022-06-18,153.00720858895716,36897.74,2282,15
2022-06-18,153.00720858895716,36897.73999999999,2282,15
2022-06-18,153.00720858895716,36897.74,2282,15
2022-06-18,153.00720858895716,36897.74,2282,15
2022-06-18,153.00720858895716,36897.74,2282,15
